City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Great Falls,US,2020-02-21 07:12:14,47.5,-111.3,41.0,23,75,25.28,broken clouds,0.0,0.0
1,Hithadhoo,MV,2020-02-21 07:12:14,-0.6,73.08,84.24,77,7,14.45,light rain,0.44,0.0
2,Necochea,AR,2020-02-21 07:12:14,-38.55,-58.74,57.99,64,62,21.99,light rain,0.19,0.0
3,Kodiak,US,2020-02-21 07:12:14,57.79,-152.41,32.0,74,90,10.29,overcast clouds,0.0,0.0
4,Bambous Virieux,MU,2020-02-21 07:12:14,-20.34,57.76,84.2,58,20,11.41,few clouds,0.0,0.0
5,La Joya,MX,2020-02-21 07:12:15,18.67,-99.47,67.37,39,3,0.56,clear sky,0.0,0.0
6,Busselton,AU,2020-02-21 07:12:15,-33.65,115.33,93.0,11,97,14.07,overcast clouds,0.0,0.0
7,Chuy,UY,2020-02-21 07:12:15,-33.7,-53.46,58.26,68,0,11.99,clear sky,0.0,0.0
8,Norman Wells,CA,2020-02-21 07:12:15,65.28,-126.83,23.0,85,75,6.93,broken clouds,0.0,0.0
9,Bela,IN,2020-02-21 07:12:15,25.93,81.98,73.8,42,80,10.98,broken clouds,0.0,0.0
10,Terrasini,IT,2020-02-21 07:12:16,38.15,13.08,51.01,81,0,4.7,clear sky,0.0,0.0
11,Amahai,ID,2020-02-21 07:12:16,-3.33,128.92,83.95,69,65,7.16,broken clouds,0.0,0.0
12,Kahului,US,2020-02-21 07:10:53,20.89,-156.47,71.6,68,1,14.99,clear sky,0.0,0.0
13,Qaanaaq,GL,2020-02-21 07:12:17,77.48,-69.36,-14.93,53,0,5.01,clear sky,0.0,0.0
14,Mataura,NZ,2020-02-21 07:12:17,-46.19,168.86,57.99,79,73,17.0,light rain,0.12,0.0
15,Ushuaia,AR,2020-02-21 07:12:17,-54.8,-68.3,57.2,62,75,17.22,broken clouds,0.0,0.0
16,Cabra,ES,2020-02-21 07:12:17,37.47,-4.44,48.99,100,16,1.63,few clouds,0.0,0.0
17,Inhambane,MZ,2020-02-21 07:12:17,-23.86,35.38,87.8,62,40,6.85,scattered clouds,0.0,0.0
18,Haines Junction,CA,2020-02-21 07:12:18,60.75,-137.51,19.83,95,100,7.92,light snow,0.0,1.44
19,Alta Floresta,BR,2020-02-21 07:12:18,-9.88,-56.09,70.09,98,100,1.41,light rain,0.44,0.0
20,Margate,GB,2020-02-21 07:12:18,51.38,1.39,43.0,80,46,13.87,scattered clouds,0.0,0.0
21,East London,ZA,2020-02-21 07:12:18,-33.02,27.91,73.4,78,40,2.24,scattered clouds,0.0,0.0
22,Ahipara,NZ,2020-02-21 07:12:18,-35.17,173.17,73.99,87,83,15.99,broken clouds,0.0,0.0
23,Hobart,AU,2020-02-21 07:12:19,-42.88,147.33,63.0,41,20,18.34,few clouds,0.0,0.0
24,Tasiilaq,GL,2020-02-21 07:12:19,65.61,-37.64,19.4,73,100,1.12,overcast clouds,0.0,0.0
25,Kuytun,RU,2020-02-21 07:12:19,54.34,101.5,23.94,82,61,6.96,broken clouds,0.0,0.0
26,Alice Springs,AU,2020-02-21 07:08:33,-23.7,133.88,93.2,13,0,13.87,clear sky,0.0,0.0
27,Dubai,AE,2020-02-21 07:10:48,25.26,55.3,77.0,50,37,5.82,scattered clouds,0.0,0.0
28,Pangai,TO,2020-02-21 07:12:20,-19.8,-174.35,80.6,78,40,12.75,scattered clouds,0.0,0.0
29,Lebu,CL,2020-02-21 07:12:20,-37.62,-73.65,59.83,35,0,2.91,clear sky,0.0,0.0
30,Dikson,RU,2020-02-21 07:12:20,73.51,80.55,-5.53,88,6,19.42,clear sky,0.0,0.0
31,Victoria,HK,2020-02-21 07:10:00,22.29,114.16,78.01,47,0,12.75,clear sky,0.0,0.0
32,Kindersley,CA,2020-02-21 07:12:21,51.47,-109.17,17.01,85,5,5.82,clear sky,0.0,0.0
33,Amberley,US,2020-02-21 07:12:21,39.2,-84.43,21.2,78,1,4.7,clear sky,0.0,0.0
34,Mar Del Plata,AR,2020-02-21 07:12:21,-38.0,-57.56,59.0,67,75,13.87,broken clouds,0.0,0.0
35,Hasaki,JP,2020-02-21 07:12:21,35.73,140.83,57.0,54,20,10.29,few clouds,0.0,0.0
36,Morgan City,US,2020-02-21 07:12:21,29.7,-91.21,46.99,81,90,12.75,light rain,0.0,0.0
37,Castro,BR,2020-02-21 07:12:21,-24.79,-50.01,66.92,94,35,4.03,scattered clouds,0.0,0.0
38,Flinders,AU,2020-02-21 07:12:22,-34.58,150.86,73.99,68,90,12.75,overcast clouds,0.0,0.0
39,Wanning,CN,2020-02-21 07:12:22,18.8,110.4,74.95,71,52,11.83,light rain,1.06,0.0
40,Kaitangata,NZ,2020-02-21 07:12:22,-46.28,169.85,60.01,62,56,8.01,broken clouds,0.0,0.0
41,Harsud,IN,2020-02-21 07:12:22,22.1,76.73,88.93,19,0,3.09,clear sky,0.0,0.0
42,Erenhot,CN,2020-02-21 07:12:22,43.65,111.98,19.74,66,10,18.54,clear sky,0.0,0.0
43,Alofi,NU,2020-02-21 07:12:23,-19.06,-169.92,78.8,94,75,3.36,broken clouds,0.0,0.0
44,Phan Thiet,VN,2020-02-21 07:12:23,10.93,108.1,93.63,32,2,18.52,clear sky,0.0,0.0
45,Provideniya,RU,2020-02-21 07:12:23,64.38,-173.3,-0.4,70,0,6.71,heavy snow,0.0,0.0
46,Bubaque,GW,2020-02-21 07:12:24,11.28,-15.83,78.76,62,18,7.92,few clouds,0.0,0.0
47,Cayenne,GF,2020-02-21 07:12:24,4.93,-52.33,77.0,78,87,2.24,overcast clouds,0.0,0.0
48,Saldanha,ZA,2020-02-21 07:12:24,-33.01,17.94,68.0,88,0,11.41,clear sky,0.0,0.0
49,Avarua,CK,2020-02-21 07:12:24,-21.21,-159.78,82.4,88,100,10.29,light rain,0.37,0.0
50,Bud,US,2020-02-21 07:12:25,39.45,-86.18,19.99,73,1,5.82,clear sky,0.0,0.0
51,Torbay,CA,2020-02-21 07:12:25,47.67,-52.73,10.99,60,20,21.92,few clouds,0.0,0.0
52,Longyearbyen,SJ,2020-02-21 07:12:26,78.22,15.64,3.2,77,40,3.36,light snow,0.0,0.0
53,Butaritari,KI,2020-02-21 07:12:26,3.07,172.79,83.97,78,77,13.67,light rain,0.88,0.0
54,Jalu,LY,2020-02-21 07:12:26,29.03,21.55,57.36,61,62,10.49,broken clouds,0.0,0.0
55,Bac Lieu,VN,2020-02-21 07:12:27,9.29,105.72,95.7,32,39,17.58,scattered clouds,0.0,0.0
56,Mount Gambier,AU,2020-02-21 07:07:39,-37.83,140.77,68.0,52,40,12.75,scattered clouds,0.0,0.0
57,Charleville-Mezieres,FR,2020-02-21 07:12:27,49.77,4.72,36.0,94,75,9.17,broken clouds,0.0,0.0
58,Rikitea,PF,2020-02-21 07:12:28,-23.12,-134.97,78.49,75,42,13.85,scattered clouds,0.0,0.0
59,Vaini,TO,2020-02-21 07:12:29,-21.2,-175.2,78.8,74,20,8.05,few clouds,0.0,0.0
60,Albany,US,2020-02-21 07:12:14,42.6,-73.97,18.0,85,1,3.36,clear sky,0.0,0.0
61,Jamestown,US,2020-02-21 07:12:29,42.1,-79.24,21.2,72,90,6.93,light snow,0.0,0.0
62,Ust-Omchug,RU,2020-02-21 07:12:30,61.15,149.63,-17.97,96,77,2.51,broken clouds,0.0,0.0
63,Laguna,US,2020-02-21 07:12:30,38.42,-121.42,54.0,62,1,4.7,clear sky,0.0,0.0
64,Cape Town,ZA,2020-02-21 07:09:25,-33.93,18.42,72.0,88,20,12.75,few clouds,0.0,0.0
65,Pisco,PE,2020-02-21 07:12:31,-13.7,-76.22,73.4,83,100,4.7,overcast clouds,0.0,0.0
66,Atuona,PF,2020-02-21 07:12:31,-9.8,-139.03,81.55,78,82,17.29,broken clouds,0.0,0.0
67,Aleksandrov Gay,RU,2020-02-21 07:10:22,50.15,48.57,29.32,87,12,9.06,few clouds,0.0,0.0
68,Saint-Philippe,RE,2020-02-21 07:12:31,-21.36,55.77,84.2,65,20,24.16,few clouds,0.0,0.0
69,Portland,US,2020-02-21 07:09:17,45.52,-122.68,45.0,56,1,3.31,clear sky,0.0,0.0
70,Henties Bay,NA,2020-02-21 07:12:32,-22.12,14.28,64.99,95,89,4.23,overcast clouds,0.0,0.0
71,Fort Nelson,CA,2020-02-21 07:12:32,58.81,-122.7,26.6,68,5,3.36,clear sky,0.0,0.0
72,Carnarvon,AU,2020-02-21 07:12:32,-24.87,113.63,87.8,62,100,20.8,light rain,2.06,0.0
73,Waipawa,NZ,2020-02-21 07:12:33,-41.41,175.52,71.6,78,92,25.28,overcast clouds,0.0,0.0
74,Rio Gallegos,AR,2020-02-21 07:12:33,-51.62,-69.22,55.4,62,40,10.29,scattered clouds,0.0,0.0
75,Sitka,US,2020-02-21 07:12:33,57.05,-135.33,39.2,86,90,12.75,overcast clouds,0.0,0.0
76,Sao Jose Da Coroa Grande,BR,2020-02-21 07:12:34,-8.9,-35.15,81.48,76,100,6.96,light rain,0.25,0.0
77,Tuktoyaktuk,CA,2020-02-21 07:12:34,69.45,-133.04,1.4,77,90,4.7,light snow,0.0,0.0
78,Port Alfred,ZA,2020-02-21 07:12:34,-33.59,26.89,73.99,81,81,3.49,broken clouds,0.0,0.0
79,Punta Arenas,CL,2020-02-21 07:10:06,-53.15,-70.92,53.6,76,75,23.04,broken clouds,0.0,0.0
80,Hobyo,SO,2020-02-21 07:12:35,5.35,48.53,84.92,62,79,16.64,broken clouds,0.0,0.0
81,Gat,IL,2020-02-21 07:12:35,31.61,34.76,62.01,67,75,6.93,broken clouds,0.0,0.0
82,Vilhena,BR,2020-02-21 07:12:35,-12.74,-60.15,70.11,99,100,2.26,moderate rain,3.56,0.0
83,Lompoc,US,2020-02-21 07:12:35,34.64,-120.46,51.01,81,1,5.82,clear sky,0.0,0.0
84,Chicama,PE,2020-02-21 07:12:36,-7.84,-79.15,73.4,83,90,5.82,overcast clouds,0.0,0.0
85,Bulgan,MN,2020-02-21 07:12:36,48.81,103.53,14.83,63,0,4.88,clear sky,0.0,0.0
86,Saskylakh,RU,2020-02-21 07:12:36,71.92,114.08,-12.41,98,89,2.57,overcast clouds,0.0,0.0
87,Lida,BY,2020-02-21 07:12:36,53.88,25.3,32.47,78,42,11.88,scattered clouds,0.0,0.0
88,Matagami,CA,2020-02-21 07:12:37,49.75,-77.63,3.2,84,1,9.17,clear sky,0.0,0.0
89,Hilo,US,2020-02-21 07:12:37,19.73,-155.09,69.8,77,1,10.0,clear sky,0.0,0.0
90,Sur,OM,2020-02-21 07:12:37,22.57,59.53,78.85,33,100,10.4,overcast clouds,0.0,0.0
91,Beringovskiy,RU,2020-02-21 07:12:37,63.05,179.32,-15.65,86,0,2.8,clear sky,0.0,0.0
92,Khatanga,RU,2020-02-21 07:12:38,71.97,102.5,6.55,95,100,10.54,light snow,0.0,0.13
93,Mahebourg,MU,2020-02-21 07:12:38,-20.41,57.7,84.2,58,20,11.41,few clouds,0.0,0.0
94,Bluff,NZ,2020-02-21 07:12:38,-46.6,168.33,57.99,79,60,17.0,broken clouds,0.0,0.0
95,Yellowknife,CA,2020-02-21 07:12:38,62.46,-114.35,21.0,79,5,6.93,clear sky,0.0,0.0
96,Cherskiy,RU,2020-02-21 07:12:39,68.75,161.3,-15.81,98,96,3.94,overcast clouds,0.0,0.0
97,Chokurdakh,RU,2020-02-21 07:12:39,70.63,147.92,-14.21,97,87,1.52,overcast clouds,0.0,0.0
98,Palaikastron,GR,2020-02-21 07:12:39,35.2,26.25,55.99,59,69,27.0,light rain,1.06,0.0
99,Praia Da Vitoria,PT,2020-02-21 07:12:40,38.73,-27.07,50.0,76,20,7.2,few clouds,0.0,0.0
100,Bredasdorp,ZA,2020-02-21 07:12:40,-34.53,20.04,73.4,60,0,3.69,clear sky,0.0,0.0
101,Itoman,JP,2020-02-21 07:12:40,26.12,127.67,71.6,60,40,14.99,scattered clouds,0.0,0.0
102,Emerald,AU,2020-02-21 07:11:03,-23.53,148.17,88.0,62,62,17.22,broken clouds,0.0,0.0
103,San Cristobal,VE,2020-02-21 07:12:41,7.77,-72.22,53.71,94,92,1.05,light rain,0.38,0.0
104,Kapaa,US,2020-02-21 07:12:41,22.08,-159.32,71.6,73,40,3.36,scattered clouds,0.0,0.0
105,San Patricio,MX,2020-02-21 07:12:42,19.22,-104.7,76.26,80,0,4.74,clear sky,0.0,0.0
106,Urucara,BR,2020-02-21 07:12:42,-2.54,-57.76,74.75,98,97,2.19,overcast clouds,0.0,0.0
107,Karratha,AU,2020-02-21 07:12:42,-20.74,116.85,82.33,84,50,12.21,scattered clouds,0.0,0.0
108,Kavaratti,IN,2020-02-21 07:12:43,10.57,72.64,87.8,66,20,4.7,few clouds,0.0,0.0
109,Swan Hill,AU,2020-02-21 07:12:43,-35.34,143.55,80.6,23,0,13.04,clear sky,0.0,0.0
110,New Norfolk,AU,2020-02-21 07:12:43,-42.78,147.06,63.0,41,20,18.34,few clouds,0.0,0.0
111,Sukhobezvodnoye,RU,2020-02-21 07:12:43,57.05,44.89,33.51,95,100,5.08,overcast clouds,0.0,0.0
112,Maceio,BR,2020-02-21 07:10:10,-9.67,-35.74,73.4,94,40,4.7,scattered clouds,0.0,0.0
113,Doha,QA,2020-02-21 07:12:44,25.29,51.53,77.0,60,12,11.41,few clouds,0.0,0.0
114,Kiruna,SE,2020-02-21 07:12:44,67.86,20.23,28.4,86,100,17.22,overcast clouds,0.0,0.0
115,Katsuura,JP,2020-02-21 07:12:45,35.13,140.3,55.99,47,20,9.17,few clouds,0.0,0.0
116,Stornoway,GB,2020-02-21 07:12:45,58.21,-6.39,48.99,87,75,36.91,light intensity drizzle rain,0.0,0.0
117,Puerto Ayora,EC,2020-02-21 07:12:45,-0.74,-90.35,77.74,88,77,8.5,light rain,1.37,0.0
118,Upernavik,GL,2020-02-21 07:12:46,72.79,-56.15,-17.86,99,95,0.78,overcast clouds,0.0,0.0
119,Narathiwat,TH,2020-02-21 07:12:46,6.33,101.75,86.0,70,40,12.75,scattered clouds,0.0,0.0
120,Pimentel,PE,2020-02-21 07:12:46,-6.84,-79.93,66.2,29,75,6.93,broken clouds,0.0,0.0
121,Airai,TL,2020-02-21 07:12:47,-8.93,125.41,74.8,87,100,2.89,moderate rain,6.62,0.0
122,Churapcha,RU,2020-02-21 07:12:47,62.0,132.43,-3.91,95,100,8.48,overcast clouds,0.0,0.0
123,Zabaykalsk,RU,2020-02-21 07:09:03,49.63,117.32,13.64,91,100,11.21,light snow,0.0,0.25
124,Bengkulu,ID,2020-02-21 07:07:50,-3.8,102.27,92.57,46,42,2.24,scattered clouds,0.0,0.0
125,Ilo,PE,2020-02-21 07:12:48,-17.64,-71.34,72.23,88,98,0.63,overcast clouds,0.0,0.0
126,Ponta Do Sol,PT,2020-02-21 07:12:49,32.67,-17.1,57.2,71,40,11.41,scattered clouds,0.0,0.0
127,Hermanus,ZA,2020-02-21 07:11:13,-34.42,19.23,66.0,83,0,1.99,clear sky,0.0,0.0
128,Port-Gentil,GA,2020-02-21 07:12:50,-0.72,8.78,84.2,83,40,9.17,scattered clouds,0.0,0.0
129,Honiara,SB,2020-02-21 07:12:50,-9.43,159.95,80.6,88,75,2.24,broken clouds,0.0,0.0
130,Nayoro,JP,2020-02-21 07:12:50,44.35,142.46,20.71,90,100,9.69,light snow,0.0,0.38
131,Ayolas,PY,2020-02-21 07:12:50,-27.4,-56.9,65.97,45,42,11.48,scattered clouds,0.0,0.0
132,Muscatine,US,2020-02-21 07:12:51,41.47,-91.13,14.0,85,1,5.03,haze,0.0,0.0
133,Saint-Francois,FR,2020-02-21 07:12:51,46.42,3.91,39.99,91,75,2.24,broken clouds,0.0,0.0
134,Kewanee,US,2020-02-21 07:12:51,41.25,-89.92,15.01,85,1,2.98,clear sky,0.0,0.0
135,Cabo San Lucas,MX,2020-02-21 07:09:43,22.89,-109.91,71.01,56,0,6.82,clear sky,0.0,0.0
136,Lockport,US,2020-02-21 07:12:52,41.59,-88.06,15.01,78,1,4.7,clear sky,0.0,0.0
137,Vieques,PR,2020-02-21 07:12:52,18.43,-65.83,75.2,73,20,3.36,few clouds,0.0,0.0
138,Itarema,BR,2020-02-21 07:12:53,-2.92,-39.92,75.47,94,100,3.11,overcast clouds,0.0,0.0
139,Warman,CA,2020-02-21 07:12:53,52.32,-106.57,19.0,84,5,6.93,clear sky,0.0,0.0
140,Bonthe,SL,2020-02-21 07:12:53,7.53,-12.51,76.68,90,39,4.9,scattered clouds,0.0,0.0
141,Vanimo,PG,2020-02-21 07:12:54,-2.67,141.3,82.31,81,96,16.04,overcast clouds,0.0,0.0
142,Opuwo,NA,2020-02-21 07:12:54,-18.06,13.84,72.16,33,100,0.89,overcast clouds,0.0,0.0
143,Mitu,CO,2020-02-21 07:12:54,1.2,-70.17,72.21,97,89,1.01,overcast clouds,0.0,0.0
144,Nanortalik,GL,2020-02-21 07:12:54,60.14,-45.24,26.49,69,100,1.95,overcast clouds,0.0,0.0
145,Wufeng,CN,2020-02-21 07:12:55,27.45,104.83,48.34,59,86,2.19,overcast clouds,0.0,0.0
146,Narsaq,GL,2020-02-21 07:12:55,60.92,-46.05,30.2,28,100,11.41,overcast clouds,0.0,0.0
147,Magan,ES,2020-02-21 07:12:55,39.97,-3.93,46.0,60,0,3.36,clear sky,0.0,0.0
148,Cabo Rojo,PR,2020-02-21 07:12:55,18.09,-67.15,75.99,75,0,5.99,clear sky,0.0,0.0
149,Tessalit,ML,2020-02-21 07:12:55,20.2,1.01,65.86,15,99,11.18,overcast clouds,0.0,0.0
150,Udachnyy,RU,2020-02-21 07:12:56,66.42,112.4,3.2,84,59,6.71,broken clouds,0.0,0.0
151,Salinopolis,BR,2020-02-21 07:12:56,-0.61,-47.36,76.89,84,100,5.44,overcast clouds,0.0,0.0
152,Severo-Kurilsk,RU,2020-02-21 07:12:56,50.68,156.12,17.06,93,100,5.46,light snow,0.0,1.31
153,Khuzhir,RU,2020-02-21 07:12:57,53.19,107.34,20.64,88,17,13.18,few clouds,0.0,0.0
154,Nikolskoye,RU,2020-02-21 07:12:57,59.7,30.79,36.0,86,20,8.95,few clouds,0.0,0.0
155,Yar-Sale,RU,2020-02-21 07:12:57,66.83,70.83,12.9,90,94,17.11,overcast clouds,0.0,0.0
156,Saint-Augustin,CA,2020-02-21 07:12:57,51.23,-58.65,-11.36,82,0,18.63,clear sky,0.0,0.0
157,Bokoro,TD,2020-02-21 07:12:58,12.38,17.06,69.28,21,0,10.78,clear sky,0.0,0.0
158,Tacoma,US,2020-02-21 07:12:51,47.25,-122.44,43.0,86,1,1.72,clear sky,0.0,0.0
159,Eirunepe,BR,2020-02-21 07:12:58,-6.66,-69.87,73.31,97,77,1.68,broken clouds,0.0,0.0
160,Kamenka,RU,2020-02-21 07:12:59,51.32,42.77,35.01,86,96,3.58,overcast clouds,0.0,0.0
161,Beruwala,LK,2020-02-21 07:12:59,6.48,79.98,88.12,61,36,5.64,scattered clouds,0.0,0.0
162,Saint-Georges,GD,2020-02-21 07:12:59,12.06,-61.75,77.0,78,20,13.87,few clouds,0.0,0.0
163,Hervey Bay,AU,2020-02-21 07:12:59,-25.3,152.85,86.0,58,40,16.11,scattered clouds,0.0,0.0
164,Libourne,FR,2020-02-21 07:13:00,44.92,-0.25,46.99,87,20,2.24,few clouds,0.0,0.0
165,Lugovoy,KZ,2020-02-21 07:13:00,42.95,72.76,42.22,74,72,4.54,broken clouds,0.0,0.0
166,Coquimbo,CL,2020-02-21 07:13:00,-29.95,-71.34,60.8,87,90,3.36,overcast clouds,0.0,0.0
167,Xai-Xai,MZ,2020-02-21 07:13:00,-25.05,33.64,83.12,68,75,1.36,broken clouds,0.0,0.0
168,Thompson,CA,2020-02-21 07:13:01,55.74,-97.86,23.0,73,20,9.17,few clouds,0.0,0.0
169,Grindavik,IS,2020-02-21 07:13:01,63.84,-22.43,32.0,57,100,21.92,light snow,0.0,0.44
170,Progreso,MX,2020-02-21 07:13:01,21.28,-89.67,77.0,83,40,4.7,scattered clouds,0.0,0.0
171,Arraial Do Cabo,BR,2020-02-21 07:13:01,-22.97,-42.03,76.32,92,1,13.42,clear sky,0.0,0.0
172,Shingu,JP,2020-02-21 07:13:02,33.73,135.98,55.4,58,20,9.17,few clouds,0.0,0.0
173,Ancud,CL,2020-02-21 07:13:02,-41.87,-73.82,51.8,71,0,9.17,clear sky,0.0,0.0
174,Vardo,NO,2020-02-21 07:13:02,70.37,31.11,24.8,85,75,28.86,light snow,0.0,0.0
175,Clyde River,CA,2020-02-21 07:13:03,70.47,-68.59,-11.2,76,90,10.29,light snow,0.0,0.0
176,Wattegama,LK,2020-02-21 07:13:03,6.8,81.48,89.6,66,40,16.11,scattered clouds,0.0,0.0
177,Hofn,IS,2020-02-21 07:13:03,64.25,-15.21,37.56,77,83,32.79,broken clouds,0.0,0.0
178,Lazaro Cardenas,MX,2020-02-21 07:13:03,17.96,-102.2,72.61,81,0,1.92,clear sky,0.0,0.0
179,Isangel,VU,2020-02-21 07:13:04,-19.55,169.27,86.0,70,75,13.33,broken clouds,0.0,0.0
180,Phalaborwa,ZA,2020-02-21 07:13:04,-23.94,31.14,75.69,89,99,6.87,light rain,0.31,0.0
181,Hargeysa,SO,2020-02-21 07:13:04,9.56,44.06,70.03,48,73,11.45,broken clouds,0.0,0.0
182,Aklavik,CA,2020-02-21 07:13:04,68.22,-135.01,6.8,84,90,5.82,light snow,0.0,0.0
183,Faanui,PF,2020-02-21 07:13:05,-16.48,-151.75,82.78,77,88,16.96,light rain,0.31,0.0
184,Port Hardy,CA,2020-02-21 07:13:05,50.7,-127.42,37.4,86,75,4.7,broken clouds,0.0,0.0
185,La Rioja,ES,2020-02-21 07:13:05,42.25,-2.5,35.6,93,30,9.17,scattered clouds,0.0,0.0
186,Faya,SA,2020-02-21 07:13:06,18.39,42.45,68.0,42,0,11.41,clear sky,0.0,0.0
